IDSUCURSAL;NITPROVEEDOR;FECHAEXP;FECHAEST;FECHAENTEGA;ESTADO
1;10000001;1/01/2017;6/01/2017;;Espera
2;10000002;2/01/2017;7/01/2017;;Espera
3;10000003;3/01/2017;8/01/2017;7/01/2017;Entregado
4;10000004;4/01/2017;9/01/2017;;Espera
5;10000005;5/01/2017;10/01/2017;;Espera
6;10000006;6/01/2017;11/01/2017;;Espera
7;10000007;7/01/2017;12/01/2017;11/01/2017;Entregado
8;10000008;8/01/2017;13/01/2017;12/01/2017;Entregado
9;10000009;9/01/2017;14/01/2017;13/01/2017;Entregado
10;10000010;10/01/2017;15/01/2017;14/01/2017;Entregado
11;10000011;11/01/2017;16/01/2017;15/01/2017;Entregado
12;10000012;12/01/2017;17/01/2017;;Espera
13;10000013;13/01/2017;18/01/2017;;Espera
14;10000014;14/01/2017;19/01/2017;;Espera
15;10000015;15/01/2017;20/01/2017;;Espera
16;10000016;16/01/2017;21/01/2017;;Espera
17;10000017;17/01/2017;22/01/2017;21/01/2017;Entregado
18;10000018;18/01/2017;23/01/2017;22/01/2017;Entregado
19;10000019;19/01/2017;24/01/2017;23/01/2017;Entregado
20;10000020;20/01/2017;25/01/2017;;Espera
21;10000021;21/01/2017;26/01/2017;;Espera
22;10000022;22/01/2017;27/01/2017;;Espera
23;10000023;23/01/2017;28/01/2017;;Espera
24;10000024;24/01/2017;29/01/2017;;Espera
25;10000025;25/01/2017;30/01/2017;29/01/2017;Entregado
26;10000026;26/01/2017;31/01/2017;;Espera
27;10000027;27/01/2017;1/02/2017;31/01/2017;Entregado
28;10000028;28/01/2017;2/02/2017;1/02/2017;Entregado
29;10000029;29/01/2017;3/02/2017;;Espera
30;10000030;30/01/2017;4/02/2017;3/02/2017;Entregado
31;10000031;31/01/2017;5/02/2017;;Espera
32;10000032;1/02/2017;6/02/2017;;Espera
33;10000033;2/02/2017;7/02/2017;6/02/2017;Entregado
34;10000034;3/02/2017;8/02/2017;7/02/2017;Entregado
35;10000035;4/02/2017;9/02/2017;;Espera
36;10000036;5/02/2017;10/02/2017;9/02/2017;Entregado
37;10000037;6/02/2017;11/02/2017;10/02/2017;Entregado
38;10000038;7/02/2017;12/02/2017;11/02/2017;Entregado
39;10000039;8/02/2017;13/02/2017;12/02/2017;Entregado
40;10000040;9/02/2017;14/02/2017;;Espera
