IDORDEN;CODIGOBARRAS;CANTIDADPRODUCTO;PRECIOTOTAL;PRECIOUNITARIO
1;1000000000000;9;45000;5000
1;1000000000001;5;25050;5010
1;1000000000002;8;40160;5020
1;1000000000003;3;15090;5030
1;1000000000004;1;5040;5040
1;1000000000005;10;50500;5050
1;1000000000006;1;5060;5060
1;1000000000007;7;35490;5070
1;1000000000008;9;45720;5080
2;1000000000009;13;66170;5090
2;1000000000010;2;10200;5100
2;1000000000011;11;56210;5110
2;1000000000012;9;46080;5120
2;1000000000013;12;61560;5130
2;1000000000014;6;30840;5140
2;1000000000015;12;61800;5150
2;1000000000016;9;46440;5160
2;1000000000017;10;51700;5170
3;1000000000018;10;51800;5180
3;1000000000019;9;46710;5190
3;1000000000020;6;31200;5200
3;1000000000021;7;36470;5210
3;1000000000022;2;10440;5220
3;1000000000023;10;52300;5230
3;1000000000024;8;41920;5240
3;1000000000025;11;57750;5250
3;1000000000026;7;36820;5260
4;1000000000027;1;5270;5270
4;1000000000028;2;10560;5280
4;1000000000029;11;58190;5290
4;1000000000030;2;10600;5300
4;1000000000031;14;74340;5310
4;1000000000032;5;26600;5320
4;1000000000033;13;69290;5330
4;1000000000034;14;74760;5340
4;1000000000035;9;48150;5350
5;1000000000036;3;16080;5360
5;1000000000037;8;42960;5370
5;1000000000038;2;10760;5380
5;1000000000039;11;59290;5390
5;1000000000040;14;75600;5400
5;1000000000041;5;27050;5410
5;1000000000042;6;32520;5420
5;1000000000043;4;21720;5430
5;1000000000044;7;38080;5440
6;1000000000045;8;43600;5450
6;1000000000046;3;16380;5460
6;1000000000047;4;21880;5470
6;1000000000048;2;10960;5480
6;1000000000049;9;49410;5490
6;1000000000050;4;22000;5500
6;1000000000051;14;77140;5510
6;1000000000052;1;5520;5520
6;1000000000053;4;22120;5530
7;1000000000054;12;66480;5540
7;1000000000055;11;61050;5550
7;1000000000056;13;72280;5560
7;1000000000057;12;66840;5570
7;1000000000058;10;55800;5580
7;1000000000059;9;50310;5590
7;1000000000060;9;50400;5600
7;1000000000061;3;16830;5610
7;1000000000062;5;28100;5620
8;1000000000063;12;67560;5630
8;1000000000064;11;62040;5640
8;1000000000065;12;67800;5650
8;1000000000066;3;16980;5660
8;1000000000067;11;62370;5670
8;1000000000068;7;39760;5680
8;1000000000069;8;45520;5690
8;1000000000070;8;45600;5700
8;1000000000071;12;68520;5710
9;1000000000072;1;5720;5720
9;1000000000073;2;11460;5730
9;1000000000074;1;5740;5740
9;1000000000075;3;17250;5750
9;1000000000076;7;40320;5760
9;1000000000077;12;69240;5770
9;1000000000078;12;69360;5780
9;1000000000079;14;81060;5790
9;1000000000080;3;17400;5800
10;1000000000081;11;63910;5810
10;1000000000082;8;46560;5820
10;1000000000083;10;58300;5830
10;1000000000084;4;23360;5840
10;1000000000085;6;35100;5850
10;1000000000086;2;11720;5860
