IDSUCURSAL;CODIGOBARRASPRODUCTO;IDCATEGORIAPROD;IDTIPOPROD;CAPAVOL;CAPAPESO;CANTIDAD;TIPOALMA;NIVELREAVAST;;;Aleatorio;"""(ENTERO(ALEATORIO()*200)+100)"""
1;1000000000000;1;1;40000;489600;80;1;4;;;111;
1;1000000000001;2;2;76152;931000;105;2;13;;;152;
2;1000000000002;3;3;78312;1003080;1;1;31;;;156;
2;1000000000003;4;4;197679;2568255;226;2;47;;;393;
3;1000000000004;5;5;80640;1070400;9;1;20;;;160;
3;1000000000005;6;6;102010;1382690;97;2;16;;;202;
4;1000000000006;7;7;94116;1302000;86;1;31;;;186;
4;1000000000007;8;8;60840;858600;21;2;12;;;120;
5;1000000000008;9;9;231648;3333360;313;1;63;;;456;
5;1000000000009;1;1;167461;2455985;249;2;32;;;329;
6;1000000000010;2;2;214710;3208020;89;1;75;;;421;
6;1000000000011;3;3;120085;1827125;42;2;47;;;235;
7;1000000000012;4;4;184320;2854800;25;1;25;;;360;
7;1000000000013;5;5;218025;3436125;51;2;8;;;425;
8;1000000000014;6;6;55512;889920;73;1;3;;;108;
8;1000000000015;7;7;194670;3173310;366;2;22;;;378;
9;1000000000016;8;8;155316;2573550;141;1;12;;;301;
9;1000000000017;9;9;254881;4291565;289;2;73;;;493;
10;1000000000018;1;1;99974;1709980;77;1;15;;;193;
10;1000000000019;2;2;252753;4390305;155;2;34;;;487;
11;1000000000020;3;3;185120;3264520;165;1;3;;;356;
11;1000000000021;4;4;254248;4550600;225;2;24;;;488;
12;1000000000022;5;5;53244;966960;40;1;19;;;102;
12;1000000000023;6;6;244764;4509180;144;2;60;;;468;
13;1000000000024;7;7;209600;3916000;263;1;64;;;400;
13;1000000000025;8;8;255150;4833270;225;2;24;;;486;
14;1000000000026;9;9;204088;3918800;152;1;54;;;388;
14;1000000000027;1;1;243474;4737810;170;2;32;;;462;
15;1000000000028;2;2;167376;3299970;157;1;50;;;317;
15;1000000000029;3;3;139656;2789160;64;2;47;;;264;
16;1000000000030;4;4;156880;3173120;89;1;56;;;296;
16;1000000000031;5;5;233109;4774125;55;2;87;;;439;
17;1000000000032;6;6;197372;4092130;42;1;14;;;371;
17;1000000000033;7;7;146575;3075875;219;2;16;;;275;
18;1000000000034;8;8;86508;1837080;60;1;1;;;162;
18;1000000000035;9;9;207580;4460060;353;2;15;;;388;
19;1000000000036;1;1;124352;2702800;181;1;23;;;232;
19;1000000000037;2;2;198153;4356045;277;2;55;;;369;
20;1000000000038;3;3;170008;3779360;214;1;31;;;316;
20;1000000000039;4;4;248479;5585015;443;2;4;;;461;
21;1000000000040;5;5;169020;3840510;72;1;3;;;313;
21;1000000000041;6;6;189891;4361175;30;2;35;;;351;
22;1000000000042;7;7;89972;2088280;124;1;33;;;166;
22;1000000000043;8;8;121089;2839905;26;2;26;;;223;
23;1000000000044;9;9;124032;2938920;149;1;34;;;228;
23;1000000000045;1;1;64310;1539310;68;2;3;;;118;
24;1000000000046;2;2;254982;6164400;225;1;46;;;467;
24;1000000000047;3;3;193091;4714315;182;2;52;;;353;
25;1000000000048;4;4;79460;1958950;19;1;29;;;145;
25;1000000000049;5;5;102663;2555355;179;2;28;;;187;
26;1000000000050;6;6;206250;5182500;94;1;37;;;375;
26;1000000000051;7;7;132791;3367975;75;2;38;;;241;
27;1000000000052;8;8;174432;4465080;194;1;6;;;316;
27;1000000000053;9;9;236684;6113980;378;2;42;;;428;
28;1000000000054;1;1;68696;1790560;82;1;12;;;124;
28;1000000000055;2;2;254745;6699105;413;2;59;;;459;
29;1000000000056;3;3;81176;2153500;101;1;10;;;146;
29;1000000000057;4;4;59042;1579930;3;2;8;;;106;
30;1000000000058;5;5;191394;5165580;60;1;17;;;343;
30;1000000000059;6;6;243724;6633740;208;2;30;;;436;
31;1000000000060;7;7;84560;2320870;119;1;22;;;151;
31;1000000000061;8;8;270963;7498575;57;2;24;;;483;
32;1000000000062;9;9;144434;4029760;39;1;7;;;257;
32;1000000000063;1;1;149758;4212110;72;2;15;;;266;
33;1000000000064;2;2;189504;5372640;255;1;30;;;336;
33;1000000000065;3;3;96050;2744650;101;2;1;;;170;
34;1000000000066;4;4;141500;4075000;68;1;15;;;250;
34;1000000000067;5;5;73710;2139150;35;2;14;;;130;
35;1000000000068;6;6;102808;3006410;163;1;9;;;181;
35;1000000000069;7;7;176390;5197150;71;2;3;;;310;
36;1000000000070;8;8;57570;1708920;40;1;20;;;101;
36;1000000000071;9;9;145034;4337050;8;2;15;;;254;
37;1000000000072;1;1;69212;2084830;44;1;9;;;121;
37;1000000000073;2;2;127206;3859470;28;2;13;;;222;
38;1000000000074;3;3;185976;5682960;203;1;19;;;324;
38;1000000000075;4;4;59800;1840280;90;2;12;;;104;
39;1000000000076;5;5;156672;4855200;167;1;13;;;272;
39;1000000000077;6;6;67509;2106585;92;2;5;;;117;
40;1000000000078;7;7;66470;2088400;75;1;4;;;115;
40;1000000000079;8;8;200334;6336990;179;2;62;;;346;
41;1000000000080;9;9;67860;2160990;30;1;10;;;117;
41;1000000000081;1;1;224847;7207875;306;2;58;;;387;
42;1000000000082;2;2;128040;4131600;9;1;26;;;220;
42;1000000000083;3;3;152746;4960970;214;2;44;;;262;
43;1000000000084;4;4;154176;5039760;208;1;42;;;264;
43;1000000000085;5;5;120510;3964470;168;2;2;;;206;
44;1000000000086;6;6;248464;8225600;168;1;80;;;424;
44;1000000000087;7;7;200167;6668255;245;2;34;;;341;
45;1000000000088;8;8;203448;6819660;21;1;6;;;346;
45;1000000000089;9;9;114266;3853810;150;2;15;;;194;
46;1000000000090;1;1;287920;9769760;406;1;34;;;488;
46;1000000000091;2;2;143022;4882350;201;2;26;;;242;
47;1000000000092;3;3;62752;2154980;28;1;15;;;106;
47;1000000000093;4;4;267443;9238735;411;2;81;;;451;
48;1000000000094;5;5;187110;6501600;186;1;28;;;315;
48;1000000000095;6;6;262395;9170595;423;2;57;;;441;
49;1000000000096;7;7;176416;6201200;201;1;8;;;296;
49;1000000000097;8;8;130743;4621995;18;2;13;;;219;
50;1000000000098;9;9;255944;9099280;243;1;29;;;428;
50;1000000000099;1;1;174309;6231765;95;2;32;;;291;
51;1000000000100;2;2;199800;7182810;125;1;66;;;333;
51;1000000000101;3;3;287278;10384550;126;2;43;;;478;
52;1000000000102;4;4;120400;4376000;60;1;4;;;200;
52;1000000000103;5;5;76581;2798445;42;2;6;;;127;
53;1000000000104;6;6;130464;4793040;160;1;21;;;216;
53;1000000000105;7;7;257730;9518970;120;2;4;;;426;
54;1000000000106;8;8;118170;4387500;187;1;1;;;195;
54;1000000000107;9;9;81338;3035770;36;2;14;;;134;
55;1000000000108;1;1;77216;2896870;71;1;7;;;127;
55;1000000000109;2;2;264915;9989775;86;2;8;;;435;
56;1000000000110;3;3;270230;10242160;38;1;88;;;443;
56;1000000000111;4;4;101426;3863650;87;2;14;;;166;
57;1000000000112;5;5;268668;10285770;393;1;79;;;439;
57;1000000000113;6;6;269720;10377400;132;2;17;;;440;
58;1000000000114;7;7;268932;10398120;81;1;87;;;438;
58;1000000000115;8;8;119925;4659525;22;2;11;;;195;
59;1000000000116;9;9;241472;9427600;224;1;35;;;392;
59;1000000000117;1;1;117847;4623155;55;2;21;;;191;
60;1000000000118;2;2;194670;7673400;204;1;34;;;315;
60;1000000000119;3;3;120086;4755910;28;2;13;;;194;
61;1000000000120;4;4;192820;7672370;43;1;34;;;311;
61;1000000000121;5;5;174501;6975825;274;2;33;;;281;
62;1000000000122;6;6;194686;7818740;229;1;53;;;313;
62;1000000000123;7;7;223657;9023465;313;2;53;;;359;
63;1000000000124;8;8;189072;7662870;132;1;54;;;303;
63;1000000000125;9;9;78125;3180625;5;2;16;;;125;
64;1000000000126;1;1;181540;7424000;88;1;5;;;290;
64;1000000000127;2;2;161139;6619035;188;2;43;;;257;
65;1000000000128;3;3;162024;6684780;215;1;43;;;258;
65;1000000000129;4;4;115736;4795960;17;2;31;;;184;
66;1000000000130;5;5;78750;3277500;92;1;20;;;125;
66;1000000000131;6;6;72565;3033125;110;2;6;;;115;
67;1000000000132;7;7;310944;13052760;455;1;49;;;492;
67;1000000000133;8;8;125967;5310315;184;2;29;;;199;
68;1000000000134;9;9;199076;8427760;212;1;47;;;314;
68;1000000000135;1;1;285750;12147750;105;2;67;;;450;
69;1000000000136;2;2;218784;9339600;203;1;44;;;344;
69;1000000000137;3;3;247793;10621645;262;2;11;;;389;
