CodigoBarras;idCategoria;IdTipoProducto;Nombre;Marca;PRESENTACION;CantidadPresen;Unimedida;Volumen;Peso
1000000000000;1;1;Nombre A;Marca A;Presentacion A;6;gr;500;6120
1000000000001;2;2;Nombre B;Marca B;Presentacion B;5;ml;501;6125
1000000000002;3;3;Nombre C;Marca C;Presentacion C;7;ml;502;6430
1000000000003;4;4;Nombre D;Marca D;Presentacion D;3;gr;503;6535
1000000000004;5;5;Nombre E;Marca E;Presentacion E;6;gr;504;6690
1000000000005;6;6;Nombre F;Marca F;Presentacion F;8;gr;505;6845
1000000000006;7;7;Nombre G;Marca G;Presentacion G;7;ml;506;7000
1000000000007;8;8;Nombre H;Marca H;Presentacion H;2;gr;507;7155
1000000000008;9;9;Nombre I;Marca I;Presentacion I;4;ml;508;7310
1000000000009;1;1;Nombre J;Marca J;Presentacion J;2;ml;509;7465
1000000000010;2;2;Nombre K;Marca K;Presentacion K;3;gr;510;7620
1000000000011;3;3;Nombre L;Marca L;Presentacion L;8;ml;511;7775
1000000000012;4;4;Nombre M;Marca M;Presentacion M;10;ml;512;7930
1000000000013;5;5;Nombre N;Marca N;Presentacion N;4;gr;513;8085
1000000000014;6;6;Nombre O;Marca O;Presentacion O;7;gr;514;8240
1000000000015;7;7;Nombre P;Marca P;Presentacion P;1;gr;515;8395
1000000000016;8;8;Nombre Q;Marca Q;Presentacion Q;5;ml;516;8550
1000000000017;9;9;Nombre R;Marca R;Presentacion R;8;gr;517;8705
1000000000018;1;1;Nombre S;Marca S;Presentacion S;10;ml;518;8860
1000000000019;2;2;Nombre T;Marca T;Presentacion T;3;ml;519;9015
1000000000020;3;3;Nombre U;Marca U;Presentacion U;2;gr;520;9170
1000000000021;4;4;Nombre V;Marca V;Presentacion V;10;ml;521;9325
1000000000022;5;5;Nombre W;Marca W;Presentacion W;7;ml;522;9480
1000000000023;6;6;Nombre X;Marca X;Presentacion X;10;gr;523;9635
1000000000024;7;7;Nombre Y;Marca Y;Presentacion Y;1;gr;524;9790
1000000000025;8;8;Nombre Z;Marca Z;Presentacion Z;4;gr;525;9945
1000000000026;9;9;Nombre A;Marca A;Presentacion A;8;ml;526;10100
1000000000027;1;1;Nombre B;Marca B;Presentacion B;9;gr;527;10255
1000000000028;2;2;Nombre C;Marca C;Presentacion C;10;ml;528;10410
1000000000029;3;3;Nombre D;Marca D;Presentacion D;5;ml;529;10565
1000000000030;4;4;Nombre E;Marca E;Presentacion E;4;gr;530;10720
1000000000031;5;5;Nombre F;Marca F;Presentacion F;6;ml;531;10875
1000000000032;6;6;Nombre G;Marca G;Presentacion G;10;ml;532;11030
1000000000033;7;7;Nombre H;Marca H;Presentacion H;1;gr;533;11185
1000000000034;8;8;Nombre I;Marca I;Presentacion I;8;gr;534;11340
1000000000035;9;9;Nombre J;Marca J;Presentacion J;5;gr;535;11495
1000000000036;1;1;Nombre K;Marca K;Presentacion K;5;ml;536;11650
1000000000037;2;2;Nombre L;Marca L;Presentacion L;3;gr;537;11805
1000000000038;3;3;Nombre M;Marca M;Presentacion M;7;ml;538;11960
1000000000039;4;4;Nombre N;Marca N;Presentacion N;3;ml;539;12115
1000000000040;5;5;Nombre O;Marca O;Presentacion O;2;gr;540;12270
1000000000041;6;6;Nombre P;Marca P;Presentacion P;9;ml;541;12425
1000000000042;7;7;Nombre Q;Marca Q;Presentacion Q;1;ml;542;12580
1000000000043;8;8;Nombre R;Marca R;Presentacion R;6;gr;543;12735
1000000000044;9;9;Nombre S;Marca S;Presentacion S;8;gr;544;12890
1000000000045;1;1;Nombre T;Marca T;Presentacion T;10;gr;545;13045
1000000000046;2;2;Nombre U;Marca U;Presentacion U;9;ml;546;13200
1000000000047;3;3;Nombre V;Marca V;Presentacion V;10;gr;547;13355
1000000000048;4;4;Nombre W;Marca W;Presentacion W;3;ml;548;13510
1000000000049;5;5;Nombre X;Marca X;Presentacion X;6;ml;549;13665
1000000000050;6;6;Nombre Y;Marca Y;Presentacion Y;8;gr;550;13820
1000000000051;7;7;Nombre Z;Marca Z;Presentacion Z;9;ml;551;13975
1000000000052;8;8;Nombre A;Marca A;Presentacion A;6;ml;552;14130
1000000000053;9;9;Nombre B;Marca B;Presentacion B;6;gr;553;14285
1000000000054;1;1;Nombre C;Marca C;Presentacion C;8;gr;554;14440
1000000000055;2;2;Nombre D;Marca D;Presentacion D;4;gr;555;14595
1000000000056;3;3;Nombre E;Marca E;Presentacion E;6;ml;556;14750
