CODIGOBARRAS;NITPROVEEDOR;ESEXCLUSIVO;PRECIOUNITARIO;PRECIOUNIDADMEDIDA
1000000000000;10000001;1;5000;100
1000000000001;10000002;0;5010;101
1000000000002;10000003;1;5020;102
1000000000003;10000004;0;5030;103
1000000000004;10000005;0;5040;104
1000000000005;10000006;0;5050;105
1000000000006;10000007;1;5060;106
1000000000007;10000008;0;5070;107
1000000000008;10000009;0;5080;108
1000000000009;10000010;1;5090;109
1000000000010;10000011;1;5100;110
1000000000011;10000012;0;5110;111
1000000000012;10000013;1;5120;112
1000000000013;10000014;0;5130;113
1000000000014;10000015;0;5140;114
1000000000015;10000016;0;5150;115
1000000000016;10000017;1;5160;116
1000000000017;10000018;0;5170;117
1000000000018;10000019;0;5180;118
1000000000019;10000020;1;5190;119
1000000000020;10000021;1;5200;120
1000000000021;10000022;0;5210;121
1000000000022;10000023;1;5220;122
1000000000023;10000024;0;5230;123
1000000000024;10000025;0;5240;124
1000000000025;10000026;0;5250;125
1000000000026;10000027;1;5260;126
1000000000027;10000028;0;5270;127
1000000000028;10000029;0;5280;128
1000000000029;10000030;1;5290;129
1000000000030;10000031;1;5300;130
1000000000031;10000032;0;5310;131
1000000000032;10000033;1;5320;132
1000000000033;10000034;0;5330;133
1000000000034;10000035;0;5340;134
1000000000035;10000036;0;5350;135
1000000000036;10000037;1;5360;136
1000000000037;10000038;0;5370;137
1000000000038;10000039;0;5380;138
1000000000039;10000040;1;5390;139
1000000000040;10000041;1;5400;140
1000000000041;10000042;0;5410;141
1000000000042;10000043;1;5420;142
1000000000043;10000044;0;5430;143
1000000000044;10000045;0;5440;144
1000000000045;10000046;0;5450;145
1000000000046;10000047;1;5460;146
1000000000047;10000048;0;5470;147
1000000000048;10000049;0;5480;148
1000000000049;10000050;1;5490;149
1000000000050;10000051;1;5500;150
1000000000051;10000052;0;5510;151
1000000000052;10000053;1;5520;152
1000000000053;10000054;0;5530;153
1000000000054;10000055;0;5540;154
1000000000055;10000056;0;5550;155
1000000000056;10000057;1;5560;156
1000000000057;10000058;0;5570;157
1000000000058;10000059;0;5580;158
1000000000059;10000060;1;5590;159
1000000000060;10000061;1;5600;160
1000000000061;10000062;0;5610;161
1000000000062;10000063;1;5620;162
1000000000063;10000064;0;5630;163
1000000000064;10000065;0;5640;164
1000000000065;10000066;0;5650;165
1000000000066;10000067;1;5660;166
1000000000067;10000068;0;5670;167
1000000000068;10000069;0;5680;168
1000000000069;10000070;1;5690;169
1000000000070;10000071;1;5700;170
1000000000071;10000072;0;5710;171
1000000000072;10000073;1;5720;172
1000000000073;10000074;0;5730;173
1000000000074;10000075;0;5740;174
1000000000075;10000076;0;5750;175
1000000000076;10000077;1;5760;176
