CODIGOBARRAS;IDSUCURSAL;PRECIOUNITARIO;PRECIOUNIDADMEDIDA;NUMERORECOMPRA;NIVELREORDEN;
1000000000000;1;5000;0.817;10;50;
1000000000001;2;5010;0.818;11;51;
1000000000002;3;5020;0.781;12;52;
1000000000003;4;5030;0.770;13;53;
1000000000004;5;5040;0.753;14;54;
1000000000005;6;5050;0.738;15;55;
1000000000006;7;5060;0.723;16;56;
1000000000007;8;5070;0.709;17;57;
1000000000008;9;5080;0.695;18;58;
1000000000009;10;5090;0.682;19;59;
1000000000010;11;5100;0.669;20;60;
1000000000011;12;5110;0.657;21;61;
1000000000012;13;5120;0.646;22;62;
1000000000013;14;5130;0.635;23;63;
1000000000014;15;5140;0.624;24;64;
1000000000015;16;5150;0.613;25;65;
1000000000016;17;5160;0.604;26;66;
1000000000017;18;5170;0.594;27;67;
1000000000018;19;5180;0.585;28;68;
1000000000019;20;5190;0.576;29;69;
1000000000020;21;5200;0.567;30;70;
1000000000021;22;5210;0.559;31;71;
1000000000022;23;5220;0.551;32;72;
1000000000023;24;5230;0.543;33;73;
1000000000024;25;5240;0.535;34;74;
1000000000025;26;5250;0.528;35;75;
1000000000026;27;5260;0.521;36;76;
1000000000027;28;5270;0.514;10;77;
1000000000028;29;5280;0.507;11;78;
1000000000029;30;5290;0.501;12;79;
1000000000030;31;5300;0.494;13;80;
1000000000031;32;5310;0.488;14;81;
1000000000032;33;5320;0.482;15;82;
1000000000033;34;5330;0.477;16;83;
1000000000034;35;5340;0.471;17;84;
1000000000035;36;5350;0.465;18;85;
1000000000036;37;5360;0.460;19;86;
1000000000037;38;5370;0.455;20;87;
1000000000038;39;5380;0.450;21;88;
1000000000039;40;5390;0.445;22;89;
1000000000040;41;5400;0.440;23;90;
1000000000041;42;5410;0.435;24;91;
1000000000042;43;5420;0.431;25;92;
1000000000043;44;5430;0.426;26;93;
1000000000044;45;5440;0.422;27;94;
1000000000045;46;5450;0.418;28;95;
1000000000046;47;5460;0.414;29;96;
1000000000047;48;5470;0.410;30;97;
1000000000048;49;5480;0.406;31;98;
1000000000049;50;5490;0.402;32;99;
1000000000050;51;5500;0.398;33;100;
1000000000051;52;5510;0.394;34;101;
1000000000052;53;5520;0.391;35;102;
1000000000053;54;5530;0.387;36;103;
1000000000054;55;5540;0.384;10;104;
1000000000055;56;5550;0.380;11;105;
1000000000056;57;5560;0.377;12;106;
1000000000057;58;5570;0.374;13;50;
1000000000058;59;5580;0.371;14;51;
1000000000059;60;5590;0.367;15;52;
1000000000060;61;5600;0.364;16;53;
1000000000061;62;5610;0.361;17;54;
1000000000062;63;5620;0.358;18;55;
1000000000063;64;5630;0.356;19;56;
1000000000064;65;5640;0.353;20;57;
1000000000065;66;5650;0.350;21;58;
1000000000066;67;5660;0.347;22;59;
1000000000067;68;5670;0.345;23;60;
1000000000068;69;5680;0.342;24;61;
1000000000069;70;5690;0.339;25;62;
1000000000070;71;5700;0.337;26;63;
1000000000071;72;5710;0.334;27;64;
1000000000072;73;5720;0.332;28;65;
1000000000073;74;5730;0.330;29;66;
1000000000074;75;5740;0.327;30;67;
1000000000075;76;5750;0.325;31;68;
1000000000076;77;5760;0.323;32;69;
1000000000077;78;5770;0.320;33;70;
1000000000078;79;5780;0.318;34;71;
1000000000079;80;5790;0.316;35;72;
1000000000080;81;5800;0.314;36;73;
1000000000081;82;5810;0.312;10;74;
1000000000082;83;5820;0.310;11;75;
1000000000083;84;5830;0.308;12;76;
1000000000084;85;5840;0.306;13;77;
1000000000085;86;5850;0.304;14;78;
1000000000086;87;5860;0.302;15;79;
1000000000087;88;5870;0.300;16;80;
1000000000088;89;5880;0.298;17;81;
1000000000089;90;5890;0.297;18;82;
1000000000090;91;5900;0.295;19;83;
1000000000091;92;5910;0.293;20;84;
1000000000092;93;5920;0.291;21;85;
